"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff"
"agency_type","County Health Department","s_treated_fair_sex_orient_recat",99.5249406175772,421,419,0.0688424497425193,0.335517570420091,98.8673261795538,100.182555055601,"treated fairly",3.22864432128091
"agency_type","County Health Department","s_treated_fair_race_recat",99.0498812351544,421,417,0.0971252903336492,0.473359701186883,98.1220962208281,99.9776662494807,"treated fairly",28.679510864784
"agency_type","County Health Department","s_treated_fair_gender_recat",98.5748218527316,421,415,0.118668097682288,0.578352919886641,97.4412501297538,99.7083935757094,"treated fairly",2.2785255564353
"agency_type","County Health Department","s_treated_fair_diability_recat",97.624703087886,421,411,0.152459755101755,0.743043381081038,96.1683380609671,99.0810681148048,"treated fairly",1.3284067915897
"agency_type","County Health Department","s_treated_fair_age_recat",96.6745843230404,421,407,0.179512844780014,0.874892072624625,94.9597958606961,98.3893727853846,"treated fairly",7.78569543415149
"agency_type","County Health Department","s_work_unit_recat",93.8242280285036,421,395,0.241001379601914,1.17456885474519,91.522073073203,96.1263829838041,"org & team",8.63904284331838
"agency_type","County Health Department","s_supervisor_recat",92.6365795724465,421,390,0.261485407347816,1.27440189740169,90.1387518535392,95.1344072913539,"supervisor",0.0439869798539547
"agency_type","County Health Department","s_belonging_work_unit_recat",91.9239904988123,421,387,0.272790503821576,1.3294995663026,89.3181713488593,94.5298096487654,"belonging",6.73880531362715
"agency_type","County Health Department","s_job_recat",91.9239904988123,421,387,0.272790503821576,1.3294995663026,89.3181713488593,94.5298096487654,"job",4.37230579748395
"agency_type","County Health Department","f_treated_fairly_recat",90.2612826603325,421,380,0.296836999886728,1.44669501717733,87.425760426665,93.0968048940001,"treated fairly",5.07609747514735
"agency_type","County Health Department","f_psych_safe_recat",89.5486935866983,421,377,0.306288943794625,1.49276097310403,86.6228820794144,92.4745050939822,"treated fairly",22.8820269200317
"agency_type","County Health Department","s_org_recat",89.3111638954869,421,376,0.309338863942384,1.50762537438229,86.3562181616976,92.2661096292762,"org & team",7.82968241400545
"agency_type","County Health Department","s_belonging_agency_recat",88.8361045130641,421,374,0.315296418058959,1.53666071653405,85.8242495086574,91.8479595174709,"belonging",7.35462303158265
"agency_type","County Health Department","s_sup_interpersonal_skills_recat",87.4109263657957,421,368,0.332120857856751,1.61865801886346,84.2383566488234,90.5834960827681,"supervisor",5.92944488431425
"agency_type","County Health Department","f_voice_concerns_recat",86.9358669833729,421,366,0.337408636102163,1.64442907315418,83.7127859999907,90.1589479667551,"voice",16.5654966130026
"agency_type","County Health Department","s_benefits_recat",86.6983372921615,421,365,0.339996739772921,1.65704271864262,83.450533563622,89.9461410207011,"pay & benefits",1.51315210697634
"agency_type","County Health Department","f_manage_demands_recat",85.5106888361045,421,360,0.352411826831241,1.71755015064048,82.1442905408492,88.8770871313599,"balance",3.37820005278438
"agency_type","County Health Department","f_work_life_balance_recat",84.7980997624703,421,357,0.35946648246951,1.75193243844045,81.364312183127,88.2318873418136,"balance",0.387085422714875
"agency_type","County Health Department","f_love_job_recat",83.6104513064133,421,352,0.370621136939396,1.80629689787805,80.0701093865723,87.1507932262543,"job",1.57473387877189
"agency_type","County Health Department","f_happy_input_recat",78.8598574821853,421,332,0.408788200950149,1.99231178600087,74.9549263816236,82.764788582747,"voice",2.6216239992962
"agency_type","County Health Department","f_paid_fairly_recat",67.9334916864608,421,286,0.467287547286827,2.27742015485549,63.4697481829441,72.3972351899776,"pay & benefits",2.43687868390955
"agency_type","County Health Department","s_pay_recat",66.9833729216152,421,282,0.470832313596144,2.29469628875627,62.4857681956529,71.4809776475775,"pay & benefits",10.7944048561626
"agency_type","Tribal Health Department","s_job_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"job",4.37230579748395
"agency_type","Tribal Health Department","s_treated_fair_diability_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"treated fairly",1.3284067915897
"agency_type","Tribal Health Department","s_treated_fair_gender_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"treated fairly",2.2785255564353
"agency_type","Tribal Health Department","s_treated_fair_sex_orient_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,103.555555555556,"treated fairly",3.22864432128091
"agency_type","Tribal Health Department","s_supervisor_recat",92.5925925925926,27,25,0.266880256341812,5.13611292801138,82.5258112536903,102.659373931495,"supervisor",0.0439869798539547
"agency_type","Tribal Health Department","s_treated_fair_age_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100.969026495572,"treated fairly",7.78569543415149
"agency_type","Tribal Health Department","f_manage_demands_recat",88.8888888888889,27,24,0.320256307610174,6.16333551361366,76.8087512822061,100.969026495572,"balance",3.37820005278438
"agency_type","Tribal Health Department","s_belonging_work_unit_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"belonging",6.73880531362715
"agency_type","Tribal Health Department","s_benefits_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"pay & benefits",1.51315210697634
"agency_type","Tribal Health Department","s_work_unit_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"org & team",8.63904284331838
"agency_type","Tribal Health Department","f_love_job_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"job",1.57473387877189
"agency_type","Tribal Health Department","f_treated_fairly_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"treated fairly",5.07609747514735
"agency_type","Tribal Health Department","f_work_life_balance_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"balance",0.387085422714875
"agency_type","Tribal Health Department","s_belonging_agency_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"belonging",7.35462303158265
"agency_type","Tribal Health Department","s_org_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"org & team",7.82968241400545
"agency_type","Tribal Health Department","s_sup_interpersonal_skills_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"supervisor",5.92944488431425
"agency_type","Tribal Health Department","f_happy_input_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"voice",2.6216239992962
"agency_type","Tribal Health Department","s_pay_recat",77.7777777777778,27,21,0.423659272868162,8.15332650783714,61.797257822417,93.7582977331386,"pay & benefits",10.7944048561626
"agency_type","Tribal Health Department","s_treated_fair_race_recat",70.3703703703704,27,19,0.465321626968075,8.95511888632576,52.8183373531719,87.9224033875689,"treated fairly",28.679510864784
"agency_type","Tribal Health Department","f_paid_fairly_recat",70.3703703703704,27,19,0.465321626968075,8.95511888632576,52.8183373531719,87.9224033875689,"pay & benefits",2.43687868390955
"agency_type","Tribal Health Department","f_voice_concerns_recat",70.3703703703704,27,19,0.465321626968075,8.95511888632576,52.8183373531719,87.9224033875689,"voice",16.5654966130026
"agency_type","Tribal Health Department","f_psych_safe_recat",66.6666666666667,27,18,0.480384461415261,9.24500327042048,48.5464602566425,84.7868730766908,"treated fairly",22.8820269200317
